酒蔵,ブランド,シリーズ,ブランド優先度,ブランド位置づけ,商品名,分類,甘辛目安,甘辛判定根拠,日本酒度,精米歩合,アルコール度数,おすすめの飲み方,飲み方情報,飲み方出典URL,使用米,容量,参考価格,流通区分,備考,出典URL,出典数
賀茂鶴酒造,賀茂鶴,,C,,樽酒,普通酒・上撰,不明,公開情報で判定材料不足,,,,冷酒 / ぬる燗 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/taruzake1800.html,,"720ml / 1,800ml","1,760～3,410円",一般流通,,https://shop.kamotsuru.jp/SHOP/taruzake1800.html,1
賀茂鶴酒造,賀茂鶴,,C,,生貯蔵酒 冷温「蔵生」囲い,普通酒・上撰,不明,公開情報で判定材料不足,,,,冷酒 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/kuranama1800.html,,"300ml / 720ml / 1,800ml","473～2,640円",一般流通,,https://shop.kamotsuru.jp/SHOP/kuranama1800.html,1
賀茂鶴酒造,賀茂鶴,,C,,白壁の郷,普通酒・上撰,不明,公開情報で判定材料不足,,,,冷酒 / 熱燗 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/sirakabe1800.html,,"720ml / 1,800ml","1,133～2,475円",一般流通,,https://shop.kamotsuru.jp/SHOP/sirakabe1800.html,1
賀茂鶴酒造,賀茂鶴,,B,公式直営ECで現行販売するプレミアム・スパークリングの主要ライン,賀茂鶴 光壽,その他,不明,公開情報で判定材料不足,,28%,,要確認,公開情報で要確認,,,750ml,"14,300円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/kouju750.html,1
賀茂鶴酒造,賀茂鶴,,C,,吟醸辛口,吟醸,辛口,商品名に辛口表記,,,,冷酒 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/LG-A1.html,,"300ml / 720ml / 1,800ml","638～3,993円",一般流通,,https://shop.kamotsuru.jp/SHOP/LG-A1.html,2
賀茂鶴酒造,賀茂鶴,,B,公式直営ECで現行販売する高級大吟醸,大吟醸 吉祥 賀茂鶴,大吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"13,200円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/kissho720.html,1
賀茂鶴酒造,賀茂鶴,,B,公式直営ECで現行販売するプレミアム大吟醸,大吟醸 吟凛雅,大吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,900ml,"33,000円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/ginringa900.html,1
賀茂鶴酒造,賀茂鶴,,B,公式直営ECで現行販売する高級大吟醸,大吟醸 天凜,大吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,"18,150円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/tenrin720.html,1
賀茂鶴酒造,賀茂鶴,,A,公式直近1年販売本数ベース晩酌1位・賀茂鶴を代表する銘柄,大吟醸 特製ゴールド賀茂鶴,大吟醸,不明,公開情報で判定材料不足,,,,冷酒 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/GK-A2.html,,"180ml / 300ml / 720ml / 1,800ml","702～6,050円",一般流通,,https://shop.kamotsuru.jp/SHOP/GK-A2.html,6
賀茂鶴酒造,賀茂鶴,,B,代表高級酒・公式ブランドカテゴリ,大吟醸 賀茂鶴 双鶴,大吟醸,不明,公開情報で判定材料不足,,32％,,冷酒 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/SK-A1.html,,"180ml / 720ml / 1,800ml","1,500～13,200円",一般流通,,https://shop.kamotsuru.jp/SHOP/SK-A1.html,3
賀茂鶴酒造,賀茂鶴,,C,,上撰パック,普通酒・上撰,不明,公開情報で判定材料不足,,,,冷酒 / ぬる燗 / 熱燗 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/jousenpack1800.html,,"900ml / 1,800ml","1,098～2,198円",一般流通,,https://shop.kamotsuru.jp/SHOP/jousenpack1800.html,1
賀茂鶴酒造,賀茂鶴,,C,,金紋,普通酒・上撰,不明,公開情報で判定材料不足,,,,冷酒 / 燗酒,出典記載,https://shop.kamotsuru.jp/SHOP/kinmon1800.html,,"1,800ml","2,420円",一般流通,,https://shop.kamotsuru.jp/SHOP/kinmon1800.html,1
